rollup,model,provider_kind,compression_target,total_runs,generation_success_rate,score_success_rate,scoreable_count,pass_count,pass_rate,avg_provider_cost,generation_error_count,generation_blocked_count,score_error_count
detail,deepseek/deepseek-chat-v3.1,openrouter,0.75,1,1.0,1.0,1,1,1.0,0.00033688,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,2.0,1,1.0,1.0,1,0,0.0,0.00045549999999999996,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,1.5,1,1.0,1.0,1,1,1.0,0.000633661,0,0,0
detail,mistralai/codestral-2508,openrouter,0.5,1,1.0,1.0,1,1,1.0,0.0002175,0,0,0
detail,mistralai/codestral-2508,openrouter,,1,1.0,1.0,1,0,0.0,0.00034506,0,0,0
detail,openai/gpt-5.4-nano,openrouter,0.5,1,1.0,1.0,1,0,0.0,0.00027545,0,0,0
detail,qwen/qwen3-coder-next,openrouter,0.25,1,1.0,1.0,1,0,0.0,0.00021141,0,0,0
detail,z-ai/glm-4.7,openrouter,0.5,1,1.0,1.0,1,0,0.0,0.00025762,0,0,0
detail,z-ai/glm-5,openrouter,0.5,1,1.0,1.0,1,1,1.0,0.00074464,0,0,0
detail,z-ai/glm-5,openrouter,2.0,1,1.0,1.0,1,1,1.0,0.00112336,0,0,0
model,deepseek/deepseek-chat-v3.1,,,2,1.0,1.0,2,1,0.5,0.00039619,0,0,0
model,deepseek/deepseek-v4-pro,,,1,1.0,1.0,1,1,1.0,0.000633661,0,0,0
model,mistralai/codestral-2508,,,2,1.0,1.0,2,1,0.5,0.00028128,0,0,0
model,openai/gpt-5.4-nano,,,1,1.0,1.0,1,0,0.0,0.00027545,0,0,0
model,qwen/qwen3-coder-next,,,1,1.0,1.0,1,0,0.0,0.00021141,0,0,0
model,z-ai/glm-4.7,,,1,1.0,1.0,1,0,0.0,0.00025762,0,0,0
model,z-ai/glm-5,,,2,1.0,1.0,2,2,1.0,0.0009339999999999999,0,0,0
