rollup,model,provider_kind,compression_target,total_runs,generation_success_rate,score_success_rate,scoreable_count,pass_count,pass_rate,avg_provider_cost,generation_error_count,generation_blocked_count,score_error_count
detail,deepseek/deepseek-chat-v3.1,openrouter,0.25,177,1.0,1.0,177,130,0.7344632768361582,0.00038542242937853117,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,0.5,195,1.0,1.0,195,146,0.7487179487179487,0.00038862861538461546,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,0.75,202,1.0,1.0,202,161,0.7970297029702971,0.00039262282178217825,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,1.0,181,1.0,1.0,181,153,0.8453038674033149,0.0004038923756906078,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,1.5,197,1.0,1.0,197,169,0.8578680203045685,0.0004263267005076142,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,2.0,185,1.0,1.0,185,158,0.8540540540540541,0.000421208972972973,0,0,0
detail,deepseek/deepseek-chat-v3.1,openrouter,,196,1.0,1.0,196,169,0.8622448979591837,0.0005190949489795918,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,0.25,203,1.0,1.0,203,140,0.6896551724137931,0.00036640177339901484,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,0.5,170,1.0,1.0,170,131,0.7705882352941177,0.0003635760870588236,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,0.75,184,1.0,1.0,184,152,0.8260869565217391,0.0003497820076086957,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,1.0,204,1.0,1.0,204,174,0.8529411764705882,0.00035874147745098043,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,1.5,186,1.0,1.0,186,165,0.8870967741935484,0.0003584548129032258,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,2.0,184,1.0,1.0,184,159,0.8641304347826086,0.00038955889999999995,0,0,0
detail,deepseek/deepseek-v3.1-terminus,openrouter,,207,1.0,1.0,207,185,0.893719806763285,0.0004898537758454106,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,0.25,179,1.0,1.0,179,128,0.7150837988826816,8.865757575418996e-05,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,0.5,187,1.0,1.0,187,133,0.7112299465240641,9.800781914438501e-05,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,0.75,187,1.0,1.0,187,156,0.8342245989304813,9.537093112299466e-05,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,1.0,182,1.0,1.0,182,139,0.7637362637362637,0.00010187031109890111,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,1.5,180,1.0,1.0,180,155,0.8611111111111112,9.998652888888892e-05,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,2.0,179,1.0,1.0,179,149,0.8324022346368715,0.00010322570983240222,0,0,0
detail,deepseek/deepseek-v4-flash,openrouter,,191,1.0,1.0,191,169,0.8848167539267016,0.00013408121015706805,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,0.25,197,1.0,1.0,197,153,0.7766497461928934,0.0009857500253807106,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,0.5,188,1.0,1.0,188,158,0.8404255319148937,0.0010522665771276595,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,0.75,190,1.0,1.0,190,158,0.8315789473684211,0.0010775280921052632,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,1.0,181,1.0,1.0,181,156,0.861878453038674,0.0010678263784530385,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,1.5,164,1.0,1.0,164,138,0.8414634146341463,0.0011033293353658537,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,2.0,186,1.0,1.0,186,166,0.8924731182795699,0.001085751438172043,0,0,0
detail,deepseek/deepseek-v4-pro,openrouter,,192,1.0,1.0,192,176,0.9166666666666666,0.0014057680494791666,0,0,0
detail,mistralai/codestral-2508,openrouter,0.25,204,1.0,1.0,204,138,0.6764705882352942,0.0002029385294117647,0,0,0
detail,mistralai/codestral-2508,openrouter,0.5,200,1.0,1.0,200,137,0.685,0.00022329509999999996,0,0,0
detail,mistralai/codestral-2508,openrouter,0.75,201,1.0,1.0,201,153,0.7611940298507462,0.00022421373134328358,0,0,0
detail,mistralai/codestral-2508,openrouter,1.0,186,1.0,1.0,186,137,0.7365591397849462,0.00024362225806451616,0,0,0
detail,mistralai/codestral-2508,openrouter,1.5,183,1.0,1.0,183,141,0.7704918032786885,0.0002505619672131147,0,0,0
detail,mistralai/codestral-2508,openrouter,2.0,190,1.0,1.0,190,155,0.8157894736842105,0.0002503705263157895,0,0,0
detail,mistralai/codestral-2508,openrouter,,203,1.0,1.0,203,165,0.812807881773399,0.0003325173399014779,0,0,0
detail,mistralai/mistral-large-2512,openrouter,0.25,166,1.0,1.0,166,132,0.7951807228915663,0.00035569578313253023,0,0,0
