task_id,model,compression_target,sample_size,interval_width_90,repeat_count,median_interval_width_90,group_count,pass_rate,observed_variance
HumanEval/0,deepseek/deepseek-chat-v3.1,0.25,1,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,0.25,2,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,0.75,1,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-chat-v3.1,0.75,2,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-chat-v3.1,1.0,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,1.5,1,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,1.5,2,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,1.5,3,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,2.0,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-chat-v3.1,,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,0.25,1,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,0.25,2,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,0.5,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,0.75,1,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-v3.1-terminus,0.75,2,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-v3.1-terminus,1.0,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,1.5,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,2.0,1,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,2.0,2,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,2.0,3,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,,1,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v3.1-terminus,,2,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-flash,0.25,1,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-v4-flash,0.25,2,1.0,2,,,0.5,0.25
HumanEval/0,deepseek/deepseek-v4-flash,0.75,1,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-flash,0.75,2,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-flash,1.0,1,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-flash,1.0,2,0.0,2,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-flash,,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,0.25,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,0.5,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,0.75,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,1.0,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,1.5,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,2.0,1,0.0,1,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,,1,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,,2,0.0,3,,,1.0,0.0
HumanEval/0,deepseek/deepseek-v4-pro,,3,0.0,3,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,0.25,1,0.0,1,,,0.0,0.0
HumanEval/0,mistralai/codestral-2508,0.5,1,0.0,2,,,0.0,0.0
HumanEval/0,mistralai/codestral-2508,0.5,2,0.0,2,,,0.0,0.0
HumanEval/0,mistralai/codestral-2508,0.75,1,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,0.75,2,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,1.0,1,0.0,1,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,2.0,1,0.0,1,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,,1,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/codestral-2508,,2,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,0.25,1,0.0,1,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,0.5,1,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,0.5,2,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,0.75,1,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,0.75,2,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,1.0,1,0.0,3,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,1.0,2,0.0,3,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,1.0,3,0.0,3,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,1.5,1,0.0,1,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,,1,0.0,2,,,1.0,0.0
HumanEval/0,mistralai/mistral-large-2512,,2,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,0.75,1,0.0,3,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,0.75,2,0.0,3,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,0.75,3,0.0,3,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,1.0,1,0.0,1,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,1.5,1,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,1.5,2,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,2.0,1,0.0,1,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2,,1,0.0,1,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,0.75,1,0.0,1,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,1.5,1,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,1.5,2,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,2.0,1,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,2.0,2,0.0,2,,,1.0,0.0
HumanEval/0,moonshotai/kimi-k2-0905,,1,0.0,1,,,1.0,0.0
