task_id,pass_rate,scoreable_count,distinct_models,distinct_compression_targets,pass_variance,entropy,sparse,always_pass,always_fail,useful_signal
HumanEval/39,0.5,136,16,6,0.25,0.6931471805599453,False,False,False,True
HumanEval/149,0.48936170212765956,141,16,6,0.24988682661837938,0.6929208167159918,False,False,False,True
HumanEval/160,0.5454545454545454,132,16,6,0.24793388429752072,0.6890092384766586,False,False,False,True
HumanEval/86,0.5616438356164384,146,16,6,0.2462000375304935,0.6855278846488313,False,False,False,True
HumanEval/140,0.582089552238806,134,16,6,0.24326130541323238,0.6796085823169076,False,False,False,True
HumanEval/122,0.5833333333333334,132,16,6,0.24305555555555564,0.6791932659915257,False,False,False,True
HumanEval/124,0.6014492753623188,138,16,6,0.23970804452846048,0.672419658817324,False,False,False,True
HumanEval/80,0.609375,128,16,6,0.238037109375,0.6690268361602776,False,False,False,True
HumanEval/38,0.6197183098591549,142,16,6,0.23566752628446738,0.6642018590903243,False,False,False,True
HumanEval/103,0.6285714285714286,140,16,6,0.23346938775510204,0.659711615178473,False,False,False,True
HumanEval/83,0.6434108527131783,129,16,6,0.22943332732407914,0.6514304300545714,False,False,False,True
HumanEval/67,0.673469387755102,49,11,6,0.2199083715118701,0.6316943984324563,False,False,False,True
HumanEval/132,0.6742424242424242,132,16,6,0.21963957759412311,0.63113342348801,False,False,False,True
HumanEval/141,0.6985294117647058,136,16,6,0.21058607266435986,0.6121051839939344,False,False,False,True
HumanEval/94,0.7,60,14,6,0.21,0.6108643020548935,False,False,False,True
HumanEval/120,0.7007874015748031,127,16,6,0.2096844193688388,0.6101956614525825,False,False,False,True
HumanEval/32,0.7019867549668874,151,16,6,0.20920135081794655,0.6091715188311925,False,False,False,True
HumanEval/151,0.7295081967213115,122,16,6,0.19732598763773182,0.5837473854336312,False,False,False,True
HumanEval/125,0.738255033557047,149,16,6,0.19323453898473048,0.5748741956352443,False,False,False,True
HumanEval/50,0.25735294117647056,136,16,6,0.19112240484429066,0.5702699272573999,False,False,False,True
HumanEval/147,0.744,125,16,6,0.19046400000000005,0.5688313232795487,False,False,False,True
HumanEval/144,0.7445255474452555,137,16,6,0.19020725664659813,0.5682699104476495,False,False,False,True
HumanEval/76,0.75,128,16,6,0.1875,0.5623351446188083,False,False,False,True
HumanEval/118,0.7520661157024794,121,16,6,0.18646267331466423,0.5600538799529557,False,False,False,True
HumanEval/163,0.7611940298507462,134,16,6,0.1817776787703275,0.5496996817077255,False,False,False,True
HumanEval/127,0.7619047619047619,147,16,6,0.18140589569160995,0.5488743844849944,False,False,False,True
HumanEval/156,0.7619047619047619,126,16,6,0.18140589569160998,0.5488743844849944,False,False,False,True
HumanEval/22,0.7698412698412699,126,16,6,0.1771856890904509,0.5394680658051614,False,False,False,True
HumanEval/95,0.781021897810219,137,16,6,0.17102669295114284,0.5256115335851422,False,False,False,True
HumanEval/62,0.78125,128,16,6,0.1708984375,0.5253213195155949,False,False,False,True
HumanEval/81,0.7971014492753623,138,16,6,0.16173072883847933,0.5043945074610344,False,False,False,True
HumanEval/99,0.8016528925619835,121,16,6,0.1590055324089884,0.4981024725126185,False,False,False,True
